SPY Company,SPY Weight,,QQQ Company,QQQ Weight
AAPL,7.16%,,AAPL,8.99%
NVDA,7.00%,,NVDA,8.83%
MSFT,6.44%,,MSFT,7.97%
AMZN,3.52%,,AVGO,5.38%
META,2.51%,,META,5.07%
GOOGL,1.95%,,AMZN,4.99%
BRK-B,1.72%,,TSLA,2.64%
AVGO,1.65%,,COST,2.57%
GOOG,1.61%,,GOOGL,2.43%
LLY,1.45%,,GOOG,2.34%
JPM,1.30%,,NFLX,2.12%
TSLA,1.21%,,TMUS,1.66%
XOM,1.09%,,AMD,1.62%
UNH,1.06%,,PEP,1.55%
V,0.97%,,LIN,1.49%
MA,0.86%,,CSCO,1.48%
JNJ,0.81%,,ADBE,1.42%
PG,0.81%,,QCOM,1.25%
COST,0.81%,,ISRG,1.19%
HD,0.81%,,TXN,1.15%
WMT,0.74%,,AMGN,1.11%
ABBV,0.68%,,INTU,1.10%
NFLX,0.66%,,CMCSA,1.04%
BAC,0.58%,,AMAT,0.98%
ORCL,0.56%,,BKNG,0.95%
CRM,0.56%,,HON,0.94%
MRK,0.55%,,VRTX,0.79%
KO,0.54%,,PANW,0.79%
CVX,0.52%,,MU,0.77%
AMD,0.50%,,ADP,0.77%
PEP,0.48%,,ADI,0.72%
ACN,0.47%,,GILD,0.71%
LIN,0.47%,,SBUX,0.71%
CSCO,0.46%,,MELI,0.68%
TMO,0.45%,,REGN,0.68%
WFC,0.45%,,INTC,0.62%
ADBE,0.44%,,MDLZ,0.62%
IBM,0.44%,,LRCX,0.61%
MCD,0.44%,,KLAC,0.58%
PM,0.42%,,PDD,0.56%
ABT,0.42%,,CTAS,0.55%
GE,0.40%,,CEG,0.54%
CAT,0.38%,,PYPL,0.54%
NOW,0.38%,,SNPS,0.50%
QCOM,0.38%,,MAR,0.48%
TXN,0.38%,,MRVL,0.47%
ISRG,0.37%,,CRWD,0.47%
VZ,0.37%,,ORLY,0.45%
NEE,0.36%,,CDNS,0.45%
DIS,0.36%,,ASML,0.44%
AMGN,0.35%,,CSX,0.43%
RTX,0.35%,,FTNT,0.41%
INTU,0.34%,,ADSK,0.40%
UBER,0.34%,,ABNB,0.39%
DHR,0.34%,,ROP,0.38%
SPGI,0.33%,,NXPI,0.38%
PFE,0.33%,,DASH,0.38%
GS,0.33%,,PCAR,0.36%
T,0.33%,,FANG,0.35%
CMCSA,0.33%,,TTD,0.35%
LOW,0.31%,,AEP,0.34%
AXP,0.31%,,WDAY,0.34%
AMAT,0.31%,,MNST,0.34%
MS,0.30%,,PAYX,0.33%
UNP,0.30%,,CPRT,0.32%
PGR,0.30%,,KDP,0.32%
BKNG,0.29%,,ROST,0.32%
HON,0.29%,,CHTR,0.30%
BLK,0.28%,,AZN,0.29%
ETN,0.28%,,FAST,0.28%
TJX,0.26%,,KHC,0.28%
BSX,0.26%,,ODFL,0.28%
SYK,0.25%,,GEHC,0.26%
COP,0.25%,,EXC,0.26%
VRTX,0.25%,,MCHP,0.26%
LMT,0.25%,,DDOG,0.25%
C,0.25%,,EA,0.25%
BX,0.25%,,VRSK,0.25%
MDT,0.24%,,IDXX,0.25%
ADP,0.24%,,CTSH,0.24%
FI,0.24%,,BKR,0.23%
MU,0.24%,,XEL,0.23%
PANW,0.24%,,CCEP,0.23%
ADI,0.23%,,LULU,0.23%
PLD,0.23%,,CSGP,0.20%
CB,0.23%,,TEAM,0.20%
SBUX,0.23%,,DXCM,0.19%
MMC,0.22%,,CDW,0.19%
GILD,0.22%,,ON,0.19%
TMUS,0.22%,,ANSS,0.18%
BMY,0.22%,,ZS,0.18%
SCHW,0.22%,,TTWO,0.18%
AMT,0.22%,,BIIB,0.17%
DE,0.21%,,SMCI,0.17%
SO,0.21%,,ILMN,0.15%
ANET,0.21%,,GFS,0.14%
REGN,0.20%,,MRNA,0.13%
ELV,0.20%,,MDB,0.13%
UPS,0.20%,,ARM,0.12%
NKE,0.20%,,WBD,0.12%
LRCX,0.19%,,DLTR,0.09%
ICE,0.19%,,,
MDLZ,0.19%,,,
INTC,0.19%,,,
KKR,0.19%,,,
DUK,0.19%,,,
BA,0.19%,,,
KLAC,0.18%,,,
TT,0.18%,,,
CI,0.18%,,,
PLTR,0.17%,,,
ZTS,0.17%,,,
MO,0.17%,,,
EQIX,0.17%,,,
SHW,0.17%,,,
CEG,0.17%,,,
PYPL,0.17%,,,
APH,0.17%,,,
CME,0.17%,,,
PH,0.17%,,,
CL,0.16%,,,
CMG,0.16%,,,
GD,0.16%,,,
MSI,0.16%,,,
AON,0.16%,,,
WM,0.16%,,,
GEV,0.16%,,,
WELL,0.16%,,,
HCA,0.16%,,,
TDG,0.16%,,,
USB,0.15%,,,
SNPS,0.15%,,,
PNC,0.15%,,,
MCO,0.15%,,,
APD,0.15%,,,
CTAS,0.15%,,,
CVS,0.15%,,,
NOC,0.14%,,,
EOG,0.14%,,,
MMM,0.14%,,,
ORLY,0.14%,,,
BDX,0.14%,,,
ITW,0.14%,,,
CRWD,0.14%,,,
FCX,0.14%,,,
TGT,0.14%,,,
CDNS,0.14%,,,
CARR,0.14%,,,
NEM,0.14%,,,
ECL,0.13%,,,
CSX,0.13%,,,
MCK,0.13%,,,
WMB,0.13%,,,
AJG,0.13%,,,
EMR,0.13%,,,
ADSK,0.13%,,,
FDX,0.12%,,,
MAR,0.12%,,,
NXPI,0.12%,,,
SLB,0.12%,,,
GM,0.12%,,,
COF,0.12%,,,
TRV,0.12%,,,
ROP,0.12%,,,
TFC,0.12%,,,
NSC,0.12%,,,
ABNB,0.12%,,,
HLT,0.12%,,,
AFL,0.12%,,,
OKE,0.12%,,,
BK,0.11%,,,
O,0.11%,,,
URI,0.11%,,,
AZO,0.11%,,,
SRE,0.11%,,,
PCAR,0.11%,,,
PSX,0.11%,,,
AEP,0.11%,,,
PSA,0.11%,,,
SPG,0.11%,,,
DHI,0.11%,,,
MPC,0.10%,,,
D,0.10%,,,
AMP,0.10%,,,
JCI,0.10%,,,
FTNT,0.10%,,,
DLR,0.10%,,,
ALL,0.10%,,,
AIG,0.10%,,,
MET,0.10%,,,
FIS,0.10%,,,
FICO,0.10%,,,
GWW,0.10%,,,
ROST,0.10%,,,
CCI,0.10%,,,
KMI,0.10%,,,
RCL,0.10%,,,
MSCI,0.10%,,,
LHX,0.10%,,,
KMB,0.09%,,,
PAYX,0.09%,,,
CMI,0.09%,,,
PEG,0.09%,,,
PWR,0.09%,,,
CPRT,0.09%,,,
PRU,0.09%,,,
TEL,0.09%,,,
PCG,0.09%,,,
KVUE,0.09%,,,
FAST,0.09%,,,
VST,0.09%,,,
F,0.09%,,,
MPWR,0.09%,,,
VLO,0.09%,,,
EW,0.09%,,,
CTVA,0.09%,,,
HWM,0.09%,,,
LEN,0.09%,,,
RSG,0.08%,,,
OTIS,0.08%,,,
COR,0.08%,,,
GEHC,0.08%,,,
EXC,0.08%,,,
MCHP,0.08%,,,
IT,0.08%,,,
ACGL,0.08%,,,
IQV,0.08%,,,
IR,0.08%,,,
KDP,0.08%,,,
A,0.08%,,,
AME,0.08%,,,
KR,0.08%,,,
GIS,0.08%,,,
HES,0.08%,,,
VRSK,0.08%,,,
STZ,0.08%,,,
MNST,0.08%,,,
IDXX,0.08%,,,
CTSH,0.08%,,,
YUM,0.08%,,,
ED,0.08%,,,
CBRE,0.08%,,,
IRM,0.08%,,,
BKR,0.07%,,,
SYY,0.07%,,,
DFS,0.07%,,,
TRGP,0.07%,,,
GLW,0.07%,,,
DOW,0.07%,,,
XEL,0.07%,,,
EXR,0.07%,,,
ODFL,0.07%,,,
DD,0.07%,,,
HIG,0.07%,,,
HPQ,0.07%,,,
DAL,0.07%,,,
RMD,0.07%,,,
EA,0.07%,,,
